bill_id,bill_number,bill_type,congress,cosponsors_by_party_D,cosponsors_by_party_R,introduced_at,sponsor_SGID,total_cosponser
hr1865-115,1865,hr,115,61,114,2017-04-03,1825,175
hr5440-115,5440,hr,115,1,,2018-04-09,1927,1
hr1817-115,1817,hr,115,17,1,2017-03-30,282,18
hr1138-115,1138,hr,115,3,1,2017-02-16,1793,4
hr664-115,664,hr,115,27,24,2017-01-24,1841,51
hr7016-115,7016,hr,115,3,,2018-10-02,593,3
hr6472-115,6472,hr,115,3,1,2018-07-23,1699,4
hr6104-115,6104,hr,115,3,3,2018-06-14,1754,6
hr3048-115,3048,hr,115,35,,2017-06-23,1794,35
hr3823-115,3823,hr,115,,2,2017-09-25,1284,2
hr2351-115,2351,hr,115,56,,2017-05-04,1212,56
hr3204-115,3204,hr,115,1,,2017-07-12,1870,1
hr6598-115,6598,hr,115,4,5,2018-07-26,1856,9
hr4902-115,4902,hr,115,4,3,2018-01-30,1939,7
hr2498-115,2498,hr,115,85,2,2017-05-17,1922,87
hr5976-115,5976,hr,115,3,,2018-05-25,1791,3
hr7188-115,7188,hr,115,4,3,2018-11-29,1978,7
hr4390-115,4390,hr,115,,1,2017-11-14,1918,1
hr6067-115,6067,hr,115,2,1,2018-06-12,593,3
hr3332-115,3332,hr,115,35,54,2017-07-20,1637,89
hr1216-115,1216,hr,115,,13,2017-02-24,1820,13
hr3158-115,3158,hr,115,1,,2017-06-29,1800,1
hr1645-115,1645,hr,115,3,12,2017-03-21,1789,15
hr3752-115,3752,hr,115,,1,2017-09-12,1969,1
hr4694-115,4694,hr,115,24,2,2017-12-20,1880,26
hr7362-115,7362,hr,115,,2,2018-12-20,1843,2
hr1131-115,1131,hr,115,8,6,2017-02-16,1885,14
hr5373-115,5373,hr,115,3,3,2018-03-21,1803,6
hr613-115,613,hr,115,9,45,2017-01-23,1777,54
hr2735-115,2735,hr,115,10,6,2017-05-25,1587,16
hr7376-115,7376,hr,115,1,,2018-12-20,1856,1
hr6980-115,6980,hr,115,3,1,2018-09-28,1883,4
hr5771-115,5771,hr,115,2,3,2018-05-10,1078,5
hr1922-115,1922,hr,115,1,,2017-04-05,1502,1
hr1682-115,1682,hr,115,1,,2017-03-22,1611,1
hr6914-115,6914,hr,115,,2,2018-09-26,1930,2
hr2303-115,2303,hr,115,9,1,2017-05-03,1797,10
hr1150-115,1150,hr,115,2,76,2017-02-16,1830,78
hr2526-115,2526,hr,115,36,,2017-05-18,1680,36
hr1038-115,1038,hr,115,20,69,2017-02-14,1773,89
hr5849-115,5849,hr,115,13,,2018-05-16,1683,13
hr6281-115,6281,hr,115,1,3,2018-06-28,1920,4
hr4222-115,4222,hr,115,29,,2017-11-02,1782,29
hr489-115,489,hr,115,94,,2017-01-12,1786,94
hr741-115,741,hr,115,9,13,2017-01-30,1637,22
hr801-115,801,hr,115,12,9,2017-02-01,1948,21
hr3579-115,3579,hr,115,3,,2017-07-28,284,3
hr3000-115,3000,hr,115,3,7,2017-06-22,1541,10
hr478-115,478,hr,115,2,7,2017-01-12,1541,9
hr1075-115,1075,hr,115,18,,2017-02-15,1591,18
hr1170-115,1170,hr,115,,10,2017-02-16,1961,10
hr1955-115,1955,hr,115,19,33,2017-04-05,1688,52
hr1589-115,1589,hr,115,9,,2017-03-16,1390,9
hr6960-115,6960,hr,115,10,,2018-09-27,1406,10
hr1902-115,1902,hr,115,174,,2017-04-05,1379,174
hr5485-115,5485,hr,115,9,5,2018-04-12,1894,14
hr6363-115,6363,hr,115,14,,2018-07-12,1191,14
hr1646-115,1646,hr,115,,5,2017-03-21,1582,5
hr4785-115,4785,hr,115,,1,2018-01-12,1731,1
hr4910-115,4910,hr,115,1,10,2018-01-30,1712,11
hr3547-115,3547,hr,115,1,7,2017-07-28,1408,8
hr947-115,947,hr,115,160,,2017-02-07,284,160
hr2987-115,2987,hr,115,11,6,2017-06-21,1961,17
hr777-115,777,hr,115,1,1,2017-01-31,1048,2
hr6621-115,6621,hr,115,2,6,2018-07-26,1669,8
hr833-115,833,hr,115,5,7,2017-02-02,1809,12
hr1562-115,1562,hr,115,25,,2017-03-16,1858,25
hr4075-115,4075,hr,115,3,4,2017-10-16,1969,7
hr6347-115,6347,hr,115,,1,2018-07-12,1910,1
hr1969-115,1969,hr,115,36,,2017-04-06,1385,36
hr1635-115,1635,hr,115,5,19,2017-03-20,1638,24
hr937-115,937,hr,115,,3,2017-02-07,1868,3
hr6869-115,6869,hr,115,80,5,2018-09-25,1191,85
hr2891-115,2891,hr,115,,1,2017-06-13,91,1
hr3103-115,3103,hr,115,10,,2017-06-28,1853,10
hr3052-115,3052,hr,115,,2,2017-06-23,1606,2
hr6600-115,6600,hr,115,1,,2018-07-26,1651,1
hr1378-115,1378,hr,115,13,5,2017-03-07,1648,18
hr2550-115,2550,hr,115,17,9,2017-05-19,1390,26
hr5107-115,5107,hr,115,,28,2018-02-27,1852,28
hr549-115,549,hr,115,2,3,2017-01-13,1905,5
hr1600-115,1600,hr,115,1,3,2017-03-17,1541,4
hr5418-115,5418,hr,115,2,2,2018-03-29,1879,4
hr3107-115,3107,hr,115,9,8,2017-06-29,1541,17
hr7214-115,7214,hr,115,,1,2018-12-03,1435,1
hr6124-115,6124,hr,115,4,2,2018-06-15,1549,6
