bill_id,bill_number,bill_type,congress,cosponsors_by_party_D,cosponsors_by_party_R,introduced_at,sponsor_SGID,total_cosponser
hres1034-115,1034,hres,115,23,81,2018-07-26,1624,104
hres993-115,993,hres,115,183,56,2018-07-16,1449,239
hres239-115,239,hres,115,27,5,2017-04-03,347,32
hres408-115,408,hres,115,1,1,2017-06-26,608,2
hres260-115,260,hres,115,2,2,2017-04-06,1613,4
hres1169-115,1169,hres,115,4,2,2018-12-06,1728,6
hres112-115,112,hres,115,1,,2017-02-09,1543,1
hres671-115,671,hres,115,,31,2017-12-21,1560,31
hres887-115,887,hres,115,1,1,2018-05-10,1911,2
hres1040-115,1040,hres,115,,1,2018-07-31,1995,1
hres362-115,362,hres,115,13,,2017-05-25,1960,13
hres423-115,423,hres,115,55,,2017-06-29,1887,55
hres916-115,916,hres,115,2,4,2018-05-25,1468,6
hres437-115,437,hres,115,1,,2017-07-12,282,1
hres940-115,940,hres,115,1,,2018-06-13,1319,1
hres83-115,83,hres,115,1,,2017-02-02,1819,1
hres794-115,794,hres,115,,1,2018-03-21,1706,1
hres154-115,154,hres,115,20,,2017-02-27,1941,20
hres182-115,182,hres,115,1,,2017-03-08,1551,1
hres304-115,304,hres,115,3,1,2017-05-02,1588,4
hres46-115,46,hres,115,4,1,2017-01-12,1424,5
hres402-115,402,hres,115,3,,2017-06-22,1473,3
hres1091-115,1091,hres,115,4,7,2018-09-27,187,11
hres1087-115,1087,hres,115,1,4,2018-09-26,1980,5
hres915-115,915,hres,115,16,,2018-05-25,1297,16
hres699-115,699,hres,115,23,,2018-01-18,1629,23
hres62-115,62,hres,115,,1,2017-01-24,1913,1
hres129-115,129,hres,115,38,82,2017-02-15,608,120
hres277-115,277,hres,115,11,,2017-04-25,1797,11
hres774-115,774,hres,115,196,55,2018-03-13,1698,251
hres393-115,393,hres,115,35,4,2017-06-20,515,39
hres359-115,359,hres,115,38,20,2017-05-25,1683,58
hres438-115,438,hres,115,1,,2017-07-12,1344,1
hres864-115,864,hres,115,99,24,2018-04-27,1473,123
hres1086-115,1086,hres,115,1,,2018-09-26,1777,1
hres497-115,497,hres,115,10,,2017-08-18,705,10
hres137-115,137,hres,115,39,9,2017-02-16,1758,48
hres800-115,800,hres,115,1,,2018-03-22,233,1
hres559-115,559,hres,115,7,1,2017-10-05,1295,8
hres23-115,23,hres,115,115,,2017-01-05,934,115
hres1069-115,1069,hres,115,,1,2018-09-13,1812,1
hres660-115,660,hres,115,23,,2017-12-12,1801,23
hres26-115,26,hres,115,,4,2017-01-05,1936,4
hres566-115,566,hres,115,2,1,2017-10-10,1626,3
hres1078-115,1078,hres,115,8,,2018-09-25,1449,8
hres57-115,57,hres,115,14,23,2017-01-24,1520,37
hres980-115,980,hres,115,1,,2018-07-03,1631,1
hres618-115,618,hres,115,1,,2017-11-13,1839,1
hres214-115,214,hres,115,7,2,2017-03-21,1507,9
hres446-115,446,hres,115,42,,2017-07-14,1935,42
hres90-115,90,hres,115,41,,2017-02-03,1801,41
hres1118-115,1118,hres,115,1,,2018-10-05,1718,1
hres300-115,300,hres,115,4,,2017-05-01,1613,4
hres977-115,977,hres,115,6,2,2018-06-28,1615,8
hres943-115,943,hres,115,16,,2018-06-14,1319,16
hres111-115,111,hres,115,143,,2017-02-09,854,143
hres47-115,47,hres,115,1,3,2017-01-12,1751,4
hres371-115,371,hres,115,8,,2017-05-26,604,8
hres713-115,713,hres,115,24,,2018-01-25,1569,24
hres661-115,661,hres,115,21,8,2017-12-12,1801,29
hres1129-115,1129,hres,115,2,2,2018-10-19,1520,4
hres1032-115,1032,hres,115,17,,2018-07-25,1406,17
hres650-115,650,hres,115,2,2,2017-12-07,1468,4
hres651-115,651,hres,115,2,1,2017-12-07,347,3
hres744-115,744,hres,115,16,,2018-02-16,1835,16
hres435-115,435,hres,115,10,2,2017-07-11,1316,12
hres315-115,315,hres,115,6,4,2017-05-04,604,10
hres336-115,336,hres,115,22,13,2017-05-18,347,35
hres1038-115,1038,hres,115,1,1,2018-07-26,1835,2
hres310-115,310,hres,115,11,,2017-05-03,1846,11
hres1102-115,1102,hres,115,2,2,2018-09-28,1907,4
hres867-115,867,hres,115,2,,2018-05-01,1612,2
hres514-115,514,hres,115,4,1,2017-09-13,1579,5
hres297-115,297,hres,115,1,1,2017-04-28,1830,2
hres145-115,145,hres,115,6,6,2017-02-16,1995,12
hres117-115,117,hres,115,1,,2017-02-13,1671,1
hres1097-115,1097,hres,115,2,,2018-09-27,1981,2
hres193-115,193,hres,115,24,,2017-03-10,1946,24
hres38-115,38,hres,115,,12,2017-01-10,1671,12
hres1144-115,1144,hres,115,32,24,2018-11-13,187,56
hres987-115,987,hres,115,84,,2018-07-11,1385,84
hres998-115,998,hres,115,,6,2018-07-16,1612,6
hres419-115,419,hres,115,37,,2017-06-28,1542,37
hres675-115,675,hres,115,,8,2018-01-03,1877,8
hres1150-115,1150,hres,115,13,,2018-11-16,1919,13
hres343-115,343,hres,115,1,,2017-05-18,871,1
hres207-115,207,hres,115,6,1,2017-03-17,1728,7
hres403-115,403,hres,115,2,,2017-06-22,1473,2
hres868-115,868,hres,115,15,14,2018-05-03,1882,29
hres349-115,349,hres,115,16,11,2017-05-22,1977,27
hres870-115,870,hres,115,,8,2018-05-03,1720,8
hres1153-115,1153,hres,115,2,1,2018-11-16,640,3
hres270-115,270,hres,115,19,3,2017-04-06,1001,22
hres1133-115,1133,hres,115,1,3,2018-10-26,1907,4
hres976-115,976,hres,115,,4,2018-06-28,1078,4
hres187-115,187,hres,115,38,4,2017-03-09,1699,42
hres654-115,654,hres,115,,1,2017-12-07,1657,1
hres752-115,752,hres,115,7,1,2018-02-27,1078,8
hres296-115,296,hres,115,3,1,2017-04-28,1793,4
hres665-115,665,hres,115,6,,2017-12-15,1629,6
hres972-115,972,hres,115,100,,2018-06-28,1542,100
hres1065-115,1065,hres,115,4,4,2018-09-13,1579,8
hres1092-115,1092,hres,115,,4,2018-09-27,1502,4
hres61-115,61,hres,115,6,,2017-01-24,1908,6
hres1061-115,1061,hres,115,,1,2018-09-12,604,1
hres720-115,720,hres,115,79,15,2018-01-30,1605,94
hres858-115,858,hres,115,2,2,2018-04-27,1850,4
hres1120-115,1120,hres,115,3,3,2018-10-05,1626,6
hres852-115,852,hres,115,4,,2018-04-26,1791,4
hres490-115,490,hres,115,3,6,2017-07-28,284,9
hres293-115,293,hres,115,11,,2017-04-28,1801,11
hres803-115,803,hres,115,1,,2018-03-22,1651,1
hres808-115,808,hres,115,,1,2018-03-29,1832,1
hres722-115,722,hres,115,17,,2018-02-02,1007,17
hres845-115,845,hres,115,8,,2018-04-25,1850,8
hres576-115,576,hres,115,3,18,2017-10-23,1541,21
hres320-115,320,hres,115,17,7,2017-05-11,1495,24
hres874-115,874,hres,115,3,1,2018-05-07,640,4
hres68-115,68,hres,115,,3,2017-01-27,515,3
hres208-115,208,hres,115,1,1,2017-03-17,1799,2
hres599-115,599,hres,115,1,,2017-11-01,1942,1
hres1010-115,1010,hres,115,,3,2018-07-23,1872,3
hres72-115,72,hres,115,4,1,2017-01-30,1908,5
hres575-115,575,hres,115,6,,2017-10-19,1946,6
hres715-115,715,hres,115,46,1,2018-01-29,593,47
hres758-115,758,hres,115,7,,2018-02-27,693,7
hres959-115,959,hres,115,8,,2018-06-22,1857,8
hres283-115,283,hres,115,20,2,2017-04-26,1801,22
hres1119-115,1119,hres,115,,1,2018-10-05,1328,1
hres351-115,351,hres,115,65,20,2017-05-23,989,85
hres683-115,683,hres,115,23,3,2018-01-10,1751,26
hres113-115,113,hres,115,,1,2017-02-09,983,1
hres135-115,135,hres,115,4,27,2017-02-16,1882,31
hres76-115,76,hres,115,1,,2017-01-31,1461,1
hres1156-115,1156,hres,115,1,1,2018-11-20,1877,2
hres884-115,884,hres,115,1,3,2018-05-09,282,4
hres991-115,991,hres,115,1,2,2018-07-12,1564,3
hres979-115,979,hres,115,,1,2018-06-29,983,1
hres517-115,517,hres,115,6,,2017-09-13,1409,6
hres105-115,105,hres,115,56,,2017-02-07,854,56
hres1172-115,1172,hres,115,29,136,2018-12-10,1768,165
hres532-115,532,hres,115,,20,2017-09-25,1499,20
hres969-115,969,hres,115,2,1,2018-06-26,1967,3
hres256-115,256,hres,115,26,27,2017-04-06,1605,53
hres1115-115,1115,hres,115,5,4,2018-10-05,1804,9
hres530-115,530,hres,115,,2,2017-09-21,1751,2
hres812-115,812,hres,115,3,1,2018-04-10,1646,3
hres782-115,782,hres,115,15,1,2018-03-14,1613,16
hres332-115,332,hres,115,74,,2017-05-17,1319,74
hres422-115,422,hres,115,2,3,2017-06-29,347,5
hres63-115,63,hres,115,24,1,2017-01-24,1835,25
hres763-115,763,hres,115,30,81,2018-03-05,1544,111
hres955-115,955,hres,115,4,3,2018-06-20,1541,7
hres523-115,523,hres,115,51,,2017-09-14,1699,51
hres944-115,944,hres,115,3,5,2018-06-14,1995,8
hres1062-115,1062,hres,115,6,2,2018-09-12,1973,8
hres792-115,792,hres,115,3,1,2018-03-20,1049,4
hres746-115,746,hres,115,32,,2018-02-23,1867,32
hres1057-115,1057,hres,115,12,2,2018-09-07,688,14
hres906-115,906,hres,115,,2,2018-05-21,1799,2
hres921-115,921,hres,115,1,,2018-06-05,872,1
hres1116-115,1116,hres,115,2,1,2018-10-05,1409,3
hres255-115,255,hres,115,3,3,2017-04-06,1565,6
hres843-115,843,hres,115,1,2,2018-04-24,1995,3
hres196-115,196,hres,115,17,1,2017-03-13,1613,18
hres58-115,58,hres,115,21,9,2017-01-24,989,30
hres889-115,889,hres,115,12,,2018-05-10,604,12
hres1053-115,1053,hres,115,5,4,2018-09-06,1915,9
hres797-115,797,hres,115,4,2,2018-03-22,1889,6
hres973-115,973,hres,115,,1,2018-06-28,688,1
hres227-115,227,hres,115,1,,2017-03-23,1974,1
hres238-115,238,hres,115,3,8,2017-03-30,1503,11
hres809-115,809,hres,115,,2,2018-03-29,1507,2
hres503-115,503,hres,115,1,1,2017-09-06,1637,2
hres328-115,328,hres,115,1,1,2017-05-16,1991,2
hres859-115,859,hres,115,28,2,2018-04-27,282,30
hres406-115,406,hres,115,2,,2017-06-26,1667,2
hres640-115,640,hres,115,9,1,2017-12-01,1613,10
hres84-115,84,hres,115,16,2,2017-02-02,1904,18
hres1178-115,1178,hres,115,2,1,2018-12-11,1492,3
hres753-115,753,hres,115,2,,2018-02-27,1816,2
hres1122-115,1122,hres,115,29,2,2018-10-12,1390,31
hres134-115,134,hres,115,11,1,2017-02-16,1840,12
hres781-115,781,hres,115,22,29,2018-03-14,1891,51
hres984-115,984,hres,115,,1,2018-07-06,1993,1
hres604-115,604,hres,115,16,18,2017-11-02,1615,34
hres11-115,11,hres,115,35,99,2017-01-03,1002,134
hres458-115,458,hres,115,,30,2017-07-19,1917,30
hres330-115,330,hres,115,,5,2017-05-17,1901,5
hres827-115,827,hres,115,15,3,2018-04-13,1896,18
hres686-115,686,hres,115,24,4,2018-01-11,1919,28
hres656-115,656,hres,115,,2,2017-12-12,1875,2
hres945-115,945,hres,115,,1,2018-06-14,1606,1
hres49-115,49,hres,115,12,,2017-01-12,1319,12
hres1005-115,1005,hres,115,1,,2018-07-19,1158,1
hres919-115,919,hres,115,,38,2018-06-05,1881,38
hres775-115,775,hres,115,6,9,2018-03-13,1951,15
hres1104-115,1104,hres,115,61,1,2018-09-28,1542,62
hres946-115,946,hres,115,7,,2018-06-15,1319,7
hres467-115,467,hres,115,3,,2017-07-20,1632,3
hres829-115,829,hres,115,32,10,2018-04-13,1688,42
hres125-115,125,hres,115,1,,2017-02-14,1648,1
hres288-115,288,hres,115,9,13,2017-04-27,187,22
hres593-115,593,hres,115,19,7,2017-10-26,1319,26
hres1048-115,1048,hres,115,,4,2018-08-31,1970,4
hres638-115,638,hres,115,,3,2017-11-30,1694,3
hres176-115,176,hres,115,2,2,2017-03-07,1319,4
hres399-115,399,hres,115,,13,2017-06-21,1925,13
hres633-115,633,hres,115,1,1,2017-11-28,1812,2
hres1145-115,1145,hres,115,97,,2018-11-13,1678,97
hres1044-115,1044,hres,115,1,,2018-08-28,1926,1
hres1141-115,1141,hres,115,2,1,2018-11-09,1987,3
hres372-115,372,hres,115,11,,2017-06-02,1319,11
hres395-115,395,hres,115,92,4,2017-06-20,1954,96
hres778-115,778,hres,115,1,3,2018-03-13,1994,4
hres43-115,43,hres,115,,10,2017-01-10,1612,10
hres463-115,463,hres,115,16,,2017-07-20,1212,16
hres319-115,319,hres,115,2,26,2017-05-11,1718,28
hres1155-115,1155,hres,115,8,,2018-11-16,858,8
hres376-115,376,hres,115,,3,2017-06-06,1560,3
hres276-115,276,hres,115,59,9,2017-04-25,1886,68
hres757-115,757,hres,115,26,2,2018-02-27,1569,28
hres461-115,461,hres,115,22,,2017-07-19,1989,22
hres947-115,947,hres,115,1,5,2018-06-19,1689,6
hres65-115,65,hres,115,2,,2017-01-27,1366,2
hres199-115,199,hres,115,25,29,2017-03-15,1830,54
hres386-115,386,hres,115,57,,2017-06-15,593,57
hres1007-115,1007,hres,115,,11,2018-07-23,1983,11
hres907-115,907,hres,115,,32,2018-05-22,2004,32
hres162-115,162,hres,115,56,10,2017-03-01,1791,66
hres237-115,237,hres,115,43,,2017-03-30,1797,43
hres914-115,914,hres,115,96,15,2018-05-25,1699,111
hres1015-115,1015,hres,115,1,,2018-07-23,1651,1
hres356-115,356,hres,115,35,,2017-05-24,733,35
hres85-115,85,hres,115,38,,2017-02-02,1946,38
hres1148-115,1148,hres,115,2,6,2018-11-15,1819,8
hres442-115,442,hres,115,16,,2017-07-13,1212,16
hres535-115,535,hres,115,8,,2017-09-25,891,8
hres493-115,493,hres,115,2,2,2017-07-28,1946,4
hres926-115,926,hres,115,18,13,2018-06-06,621,31
hres534-115,534,hres,115,1,3,2017-09-25,1458,4
hres136-115,136,hres,115,93,,2017-02-16,1614,93
hres281-115,281,hres,115,7,7,2017-04-26,1797,14
hres1072-115,1072,hres,115,1,,2018-09-20,1646,1
hres643-115,643,hres,115,1,2,2017-12-04,617,3
hres697-115,697,hres,115,10,2,2018-01-17,891,12
hres143-115,143,hres,115,25,,2017-02-16,1800,25
hres28-115,28,hres,115,186,61,2017-01-05,1409,247
hres770-115,770,hres,115,1,,2018-03-09,1319,1
hres956-115,956,hres,115,14,,2018-06-21,1406,14
hres1166-115,1166,hres,115,7,1,2018-11-30,1542,8
hres1066-115,1066,hres,115,,33,2018-09-13,2003,33
hres1030-115,1030,hres,115,2,3,2018-07-25,1980,5
hres78-115,78,hres,115,126,,2017-02-01,1398,126
hres147-115,147,hres,115,1,,2017-02-17,1542,1
hres140-115,140,hres,115,77,,2017-02-16,1319,77
hres264-115,264,hres,115,11,,2017-04-06,1520,11
hres79-115,79,hres,115,48,,2017-02-01,1542,48
hres526-115,526,hres,115,10,,2017-09-14,570,10
hres768-115,768,hres,115,34,,2018-03-08,1896,34
hres1014-115,1014,hres,115,9,,2018-07-23,593,9
hres475-115,475,hres,115,1,,2017-07-25,1975,1
hres1068-115,1068,hres,115,125,1,2018-09-13,1797,126
hres883-115,883,hres,115,,1,2018-05-09,1397,1
hres1179-115,1179,hres,115,3,9,2018-12-13,693,12
hres707-115,707,hres,115,20,5,2018-01-19,1987,25
hres213-115,213,hres,115,10,1,2017-03-21,1569,11
hres692-115,692,hres,115,13,17,2018-01-12,1520,30
hres664-115,664,hres,115,2,6,2017-12-13,640,8
hres769-115,769,hres,115,3,,2018-03-09,1857,3
hres1094-115,1094,hres,115,1,1,2018-09-27,1285,2
hres485-115,485,hres,115,2,,2017-07-28,1886,2
hres541-115,541,hres,115,8,,2017-09-27,1680,8
hres418-115,418,hres,115,1,3,2017-06-28,1775,4
hres355-115,355,hres,115,10,12,2017-05-24,1324,22
hres189-115,189,hres,115,14,4,2017-03-10,1681,18
hres166-115,166,hres,115,2,,2017-03-02,1780,2
hres925-115,925,hres,115,2,,2018-06-06,515,2
hres235-115,235,hres,115,11,,2017-03-30,1158,11
hres426-115,426,hres,115,31,,2017-06-29,1613,31
hres545-115,545,hres,115,7,,2017-09-28,1584,7
hres735-115,735,hres,115,6,7,2018-02-08,1285,13
hres854-115,854,hres,115,27,,2018-04-26,1999,27
hres587-115,587,hres,115,26,,2017-10-25,1804,26
hres702-115,702,hres,115,1,1,2018-01-18,1385,2
hres1023-115,1023,hres,115,1,1,2018-07-24,1954,2
hres1114-115,1114,hres,115,1,1,2018-10-02,1588,2
hres1187-115,1187,hres,115,5,2,2018-12-21,1995,7
hres641-115,641,hres,115,13,4,2017-12-01,693,17
hres152-115,152,hres,115,1,45,2017-02-27,1752,46
hres1101-115,1101,hres,115,1,1,2018-09-28,1451,2
hres1055-115,1055,hres,115,5,3,2018-09-07,1905,8
hres445-115,445,hres,115,20,13,2017-07-13,1829,33
hres1147-115,1147,hres,115,9,,2018-11-14,1550,9
hres983-115,983,hres,115,,1,2018-07-06,1892,1
hres779-115,779,hres,115,,1,2018-03-14,1858,1
hres848-115,848,hres,115,17,3,2018-04-25,1801,20
hres810-115,810,hres,115,1,1,2018-04-05,1728,2
hres367-115,367,hres,115,166,,2017-05-25,1390,166
hres384-115,384,hres,115,1,,2017-06-14,1825,1
hres909-115,909,hres,115,4,2,2018-05-22,1841,6
hres1008-115,1008,hres,115,45,,2018-07-23,347,45
hres798-115,798,hres,115,6,,2018-03-22,1366,6
hres890-115,890,hres,115,3,,2018-05-10,1841,3
hres257-115,257,hres,115,42,24,2017-04-06,1895,66
hres698-115,698,hres,115,1,1,2018-01-17,1655,2
hres1058-115,1058,hres,115,123,,2018-09-12,1853,123
hres737-115,737,hres,115,6,7,2018-02-13,1611,13
hres223-115,223,hres,115,2,3,2017-03-23,1805,5
hres271-115,271,hres,115,1,10,2017-04-06,1805,11
hres982-115,982,hres,115,23,,2018-07-03,891,23
hres234-115,234,hres,115,,1,2017-03-30,1451,1
hres35-115,35,hres,115,3,3,2017-01-09,325,6
hres749-115,749,hres,115,21,,2018-02-26,1675,21
hres452-115,452,hres,115,1,,2017-07-17,1902,1
hres215-115,215,hres,115,,1,2017-03-21,1564,1
hres568-115,568,hres,115,1,,2017-10-11,872,1
hres66-115,66,hres,115,13,1,2017-01-27,1409,14
hres163-115,163,hres,115,8,2,2017-03-01,1787,10
hres286-115,286,hres,115,1,,2017-04-27,1863,1
hres179-115,179,hres,115,13,,2017-03-08,1950,13
hres400-115,400,hres,115,41,37,2017-06-22,1898,78
hres15-115,15,hres,115,185,73,2017-01-03,1424,258
hres428-115,428,hres,115,31,17,2017-06-29,1495,48
hres896-115,896,hres,115,17,,2018-05-15,1707,17
hres567-115,567,hres,115,2,,2017-10-11,1699,2
hres988-115,988,hres,115,,1,2018-07-11,1850,1
hres524-115,524,hres,115,108,,2017-09-14,1797,108
hres1085-115,1085,hres,115,,1,2018-09-26,1809,1
hres1073-115,1073,hres,115,62,,2018-09-20,1569,62
hres936-115,936,hres,115,,1,2018-06-13,2000,1
hres862-115,862,hres,115,1,1,2018-04-27,1917,2
hres86-115,86,hres,115,1,,2017-02-03,1530,1
hres312-115,312,hres,115,8,4,2017-05-03,1424,12
hres243-115,243,hres,115,8,1,2017-04-03,1840,9
hres252-115,252,hres,115,12,12,2017-04-06,1948,24
hres160-115,160,hres,115,24,,2017-03-01,1758,24
hres1170-115,1170,hres,115,1,1,2018-12-06,1699,2
hres313-115,313,hres,115,4,6,2017-05-03,1632,10
hres766-115,766,hres,115,7,9,2018-03-07,99,16
hres253-115,253,hres,115,2,1,2017-04-06,1451,3
hres602-115,602,hres,115,26,37,2017-11-01,1458,63
hres772-115,772,hres,115,,11,2018-03-13,1720,11
hres1134-115,1134,hres,115,16,1,2018-10-26,1867,17
hres910-115,910,hres,115,30,13,2018-05-24,1322,43
hres380-115,380,hres,115,137,7,2017-06-12,1903,144
hres73-115,73,hres,115,1,,2017-01-31,1445,1
hres819-115,819,hres,115,,2,2018-04-11,1285,2
hres19-115,19,hres,115,4,,2017-01-03,515,4
hres913-115,913,hres,115,36,,2018-05-24,1860,36
hres178-115,178,hres,115,13,,2017-03-08,1942,13
hres347-115,347,hres,115,21,2,2017-05-19,1678,23
hres200-115,200,hres,115,5,2,2017-03-16,1993,7
hres941-115,941,hres,115,2,,2018-06-14,1667,2
hres649-115,649,hres,115,1,,2017-12-07,1591,1
hres554-115,554,hres,115,1,,2017-10-03,872,1
hres861-115,861,hres,115,6,10,2018-04-27,1812,16
hres448-115,448,hres,115,5,1,2017-07-14,1896,6
hres928-115,928,hres,115,3,,2018-06-08,1954,3
hres1130-115,1130,hres,115,30,4,2018-10-23,854,34
hres188-115,188,hres,115,43,36,2017-03-09,1543,79
hres582-115,582,hres,115,,1,2017-10-24,1877,1
hres700-115,700,hres,115,161,,2018-01-18,1726,161
hres728-115,728,hres,115,,1,2018-02-07,1451,1
hres588-115,588,hres,115,8,11,2017-10-25,1913,19
hres316-115,316,hres,115,1,3,2017-05-04,983,4
hres586-115,586,hres,115,34,,2017-10-25,1867,34
hres610-115,610,hres,115,2,2,2017-11-07,1871,4
hres318-115,318,hres,115,13,24,2017-05-08,1582,37
hres869-115,869,hres,115,32,,2018-05-03,1680,32
hres1016-115,1016,hres,115,3,1,2018-07-23,1479,4
hres1098-115,1098,hres,115,10,7,2018-09-27,1007,17
hres516-115,516,hres,115,6,,2017-09-13,1945,6
hres290-115,290,hres,115,2,,2017-04-27,1295,2
hres100-115,100,hres,115,3,8,2017-02-07,1889,11
hres841-115,841,hres,115,,1,2018-04-24,1572,1
hres521-115,521,hres,115,2,1,2017-09-14,1819,3
hres492-115,492,hres,115,35,,2017-07-28,1542,35
hres1110-115,1110,hres,115,8,1,2018-10-02,1408,9
hres346-115,346,hres,115,12,3,2017-05-19,1786,15
hres556-115,556,hres,115,9,2,2017-10-04,617,11
hres648-115,648,hres,115,,2,2017-12-07,1877,2
hres564-115,564,hres,115,,8,2017-10-10,617,8
hres823-115,823,hres,115,9,,2018-04-12,1572,9
hres672-115,672,hres,115,33,2,2017-12-21,1935,35
hres1113-115,1113,hres,115,1,2,2018-10-02,1643,3
hres236-115,236,hres,115,,15,2017-03-30,1587,15
hres170-115,170,hres,115,1,,2017-03-02,1990,1
hres489-115,489,hres,115,6,5,2017-07-28,1393,11
hres937-115,937,hres,115,,7,2018-06-13,1829,7
hres739-115,739,hres,115,13,1,2018-02-15,1520,14
hres880-115,880,hres,115,7,4,2018-05-08,1424,11
hres434-115,434,hres,115,,8,2017-07-11,1930,8
hres986-115,986,hres,115,24,3,2018-07-10,1507,27
hres1029-115,1029,hres,115,7,3,2018-07-25,1915,10
hres222-115,222,hres,115,2,4,2017-03-23,1671,6
hres457-115,457,hres,115,44,1,2017-07-19,1950,45
hres785-115,785,hres,115,2,128,2018-03-15,1544,130
hres603-115,603,hres,115,29,24,2017-11-02,187,53
hres496-115,496,hres,115,134,,2017-08-18,854,134
hres518-115,518,hres,115,5,10,2017-09-13,1646,15
hres294-115,294,hres,115,8,,2017-04-28,1655,8
hres838-115,838,hres,115,11,23,2018-04-24,1543,34
hres540-115,540,hres,115,,1,2017-09-26,1328,1
hres249-115,249,hres,115,23,33,2017-04-05,1819,56
hres1052-115,1052,hres,115,3,2,2018-09-06,1850,5
hres184-115,184,hres,115,150,,2017-03-09,1836,150
hres192-115,192,hres,115,68,,2017-03-10,1935,68
hres621-115,621,hres,115,17,,2017-11-15,1605,17
hres750-115,750,hres,115,23,13,2018-02-26,1718,36
hres760-115,760,hres,115,12,,2018-03-01,1787,12
hres1165-115,1165,hres,115,4,11,2018-11-30,1959,15
hres211-115,211,hres,115,14,,2017-03-20,705,14
hres248-115,248,hres,115,1,1,2017-04-04,1451,2
hres354-115,354,hres,115,26,19,2017-05-24,1002,45
hres394-115,394,hres,115,1,1,2017-06-20,621,2
hres12-115,12,hres,115,1,,2017-01-03,593,1
hres974-115,974,hres,115,28,1,2018-06-28,1324,29
hres1037-115,1037,hres,115,5,2,2018-07-26,1857,7
hres441-115,441,hres,115,3,,2017-07-12,1533,3
hres401-115,401,hres,115,121,31,2017-06-22,515,152
hres822-115,822,hres,115,1,2,2018-04-12,1940,3
hres922-115,922,hres,115,1,,2018-06-06,617,1
hres482-115,482,hres,115,,1,2017-07-27,284,1
hres570-115,570,hres,115,1,21,2017-10-12,1914,22
hres742-115,742,hres,115,3,6,2018-02-16,1960,9
hres301-115,301,hres,115,1,1,2017-05-01,1505,2
hres871-115,871,hres,115,7,6,2018-05-07,1841,13
hres220-115,220,hres,115,91,34,2017-03-22,1996,125
hres1018-115,1018,hres,115,7,,2018-07-24,1328,7
hres197-115,197,hres,115,10,6,2017-03-13,1944,16
hres507-115,507,hres,115,9,,2017-09-06,872,9
hres1131-115,1131,hres,115,1,1,2018-10-23,1797,2
hres962-115,962,hres,115,,11,2018-06-25,1881,11
hres826-115,826,hres,115,22,21,2018-04-13,1887,43
hres550-115,550,hres,115,5,3,2017-10-02,1755,8
hres623-115,623,hres,115,1,,2017-11-15,1614,1
hres107-115,107,hres,115,1,,2017-02-07,1669,1
hres911-115,911,hres,115,27,,2018-05-24,1680,27
hres1043-115,1043,hres,115,32,10,2018-08-21,1979,42
hres572-115,572,hres,115,,1,2017-10-12,1832,1
hres1025-115,1025,hres,115,3,,2018-07-24,1800,3
hres1095-115,1095,hres,115,24,5,2018-09-27,284,29
hres94-115,94,hres,115,15,,2017-02-06,1591,15
hres462-115,462,hres,115,5,31,2017-07-20,1408,36
hres776-115,776,hres,115,14,3,2018-03-13,1969,17
hres1105-115,1105,hres,115,,3,2018-09-28,1956,3
hres597-115,597,hres,115,3,9,2017-10-31,1925,12
hres285-115,285,hres,115,6,2,2017-04-26,1993,8
hres605-115,605,hres,115,4,22,2017-11-03,466,26
hres1041-115,1041,hres,115,,1,2018-08-07,1435,1
hres1056-115,1056,hres,115,10,2,2018-09-07,1925,12
hres929-115,929,hres,115,14,8,2018-06-08,1782,22
hres181-115,181,hres,115,,14,2017-03-08,1914,14
hres1107-115,1107,hres,115,1,,2018-09-28,1549,1
hres126-115,126,hres,115,1,,2017-02-14,1500,1
hres263-115,263,hres,115,3,,2017-04-06,1954,3
hres542-115,542,hres,115,1,,2017-09-27,347,1
hres1054-115,1054,hres,115,1,,2018-09-06,1960,1
hres295-115,295,hres,115,32,4,2017-04-28,1797,36
hres729-115,729,hres,115,1,,2018-02-07,1795,1
hres551-115,551,hres,115,4,,2017-10-02,1835,4
hres102-115,102,hres,115,11,,2017-02-07,1850,11
hres1080-115,1080,hres,115,,1,2018-09-25,1995,1
hres994-115,994,hres,115,,9,2018-07-16,1915,9
hres933-115,933,hres,115,37,,2018-06-12,1999,37
hres261-115,261,hres,115,1,6,2017-04-06,1625,7
hres968-115,968,hres,115,55,,2018-06-26,1379,55
hres259-115,259,hres,115,10,30,2017-04-06,1806,40
hres958-115,958,hres,115,4,,2018-06-22,515,4
hres54-115,54,hres,115,10,4,2017-01-23,1554,14
hres759-115,759,hres,115,,9,2018-03-01,1889,9
hres424-115,424,hres,115,1,2,2017-06-29,282,3
hres268-115,268,hres,115,2,2,2017-04-06,1777,4
hres118-115,118,hres,115,9,,2017-02-13,1584,9
hres711-115,711,hres,115,5,5,2018-01-22,1993,10
hres1154-115,1154,hres,115,3,,2018-11-16,1651,3
hres388-115,388,hres,115,1,,2017-06-15,1718,1
hres1090-115,1090,hres,115,19,12,2018-09-27,1688,31
hres495-115,495,hres,115,53,14,2017-07-28,1473,67
hres751-115,751,hres,115,2,,2018-02-26,872,2
hres902-115,902,hres,115,16,,2018-05-17,1043,16
hres881-115,881,hres,115,1,32,2018-05-08,1955,33
hres820-115,820,hres,115,14,,2018-04-11,1212,14
hres663-115,663,hres,115,1,1,2017-12-13,617,2
